severity,file,line,kind,target,note
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,484,md-link,"mx-outputs/mx-site/blog/what-is-machine-experience.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/blog/what-is-machine-experience.html"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,484,backtick-path,"mx-outputs/mx-site/blog/machine-experience-adding-metadata.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/blog/machine-experience-adding-metadata.html"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,484,backtick-path,"mx-outputs/mx-site/blog/what-is-machine-experience.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/blog/what-is-machine-experience.html"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,487,md-link,"mx-reginald/audit/scripts/check-template-leaks.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-template-leaks.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,487,md-link,"mx-reginald/audit/scripts/check-template-coverage.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-template-coverage.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,487,backtick-path,"mx-reginald/audit/scripts/check-template-leaks.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-template-leaks.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,487,backtick-path,"mx-reginald/audit/scripts/check-template-coverage.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-template-coverage.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,488,md-link,"mx-reginald/audit/bin/infill-report.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/bin/infill-report.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,488,backtick-path,"mx-reginald/audit/bin/infill-report.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/bin/infill-report.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,489,md-link,"mx-reginald/audit/scripts/check-report-voice.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-report-voice.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,489,backtick-path,"mx-reginald/audit/scripts/check-report-voice.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-report-voice.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,490,md-link,"mx-reginald/audit/src/utils/reportUtils/reportGenerators.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/src/utils/reportUtils/reportGenerators.js"
